x y z roll pitch yaw
0.000000 0.000000 -0.000000 0.000000 0.000000 -0.000000
-0.301858 0.051063 0.804137 -0.096747 0.460979 0.291416
-0.208509 0.067375 1.658223 0.066122 -0.094235 0.506831
-0.139275 0.007421 2.513773 0.282713 -0.438331 0.481017
-0.090989 -0.000908 3.371805 0.364400 -1.052988 0.570958
-0.146779 0.045026 4.229200 0.467623 -1.275962 0.789799
-0.288368 0.050680 5.076835 0.228799 -1.231280 0.918354
-0.604493 -0.008739 5.874996 0.017156 -1.024772 1.002977
-0.614836 0.014099 6.734076 -0.068215 -1.240218 0.999862
-0.808500 0.070778 7.570383 -0.216656 -0.987565 1.039795
-0.798670 0.087677 8.430759 -0.130904 -1.233508 1.047436
-0.394142 0.099097 9.188609 -0.027376 -2.938744 1.283914
-0.404557 0.059003 10.048044 0.120719 -3.204321 1.302237
-0.237575 -0.005119 10.889602 0.183920 -4.360301 1.307139
-0.332100 -0.034356 11.743481 -0.250540 -4.373436 1.353277
-0.435062 -0.042707 12.593095 -0.268970 -4.371682 1.354449
-0.455696 -0.006839 13.455771 -0.369156 -4.559281 1.816932
-0.476802 0.064806 14.323286 -0.419023 -4.601838 2.498702
-0.401400 0.006931 15.199761 -0.724218 -5.436581 2.617476
-0.504731 -0.057714 16.083316 -0.652992 -5.468751 2.581417
-0.733386 -0.125124 16.952956 -0.653440 -5.128591 2.431997
-0.689896 -0.216186 17.853485 -0.744098 -5.434612 2.186400
-0.824462 -0.253847 18.755774 -0.811022 -5.336541 2.188433
-0.930195 -0.321290 19.662239 -1.216132 -5.622452 2.269571
-1.032220 -0.346435 20.574716 -1.213999 -5.622655 2.269854
-1.156529 -0.363310 21.494901 -1.206400 -5.552764 2.378215
-1.255929 -0.283444 22.422323 -1.662690 -5.538460 2.552240
-1.293741 -0.302934 23.358691 -1.443598 -5.626606 2.431934
-1.186601 -0.340302 24.295855 -1.389345 -6.318717 2.405203
-1.279581 -0.185590 25.225372 -1.842174 -6.072805 3.244071
-1.323706 -0.250963 26.171518 -2.011579 -6.298577 3.345466
-1.457022 -0.298194 27.114272 -1.881359 -5.952631 3.643782
-1.453873 -0.303428 28.074288 -1.644060 -6.185651 4.068253
-1.549375 -0.437774 29.030048 -1.301139 -5.969360 3.833414
-1.677544 -0.486728 29.997397 -0.941118 -5.974604 3.637912
-1.738356 -0.532270 30.975280 -0.365488 -6.116286 3.583719
-1.816499 -0.601688 31.950312 0.119144 -6.417587 3.730088
-1.801627 -0.617407 32.930644 0.156072 -6.946142 4.111269
-1.748793 -0.804519 33.897111 -0.196209 -7.841485 4.014651
-1.896559 -0.868894 34.897563 -0.132425 -7.902331 4.034458
-2.062211 -0.869049 35.944993 -0.517285 -7.966174 4.158827
-2.098521 -0.931159 36.987147 -1.054408 -8.174187 4.094340
-2.055699 -1.108648 38.017638 -1.144206 -8.765920 3.890251
-2.178977 -1.216173 39.039693 -0.994151 -8.872467 3.608797
-2.436616 -1.308162 40.040867 -1.200791 -8.472530 3.464174
-2.467927 -1.405648 41.061522 -1.482550 -8.971049 3.182637
-2.733453 -1.458544 42.049975 -1.720808 -8.863316 3.390432
-2.811772 -1.532124 43.056776 -1.863389 -9.026693 3.393683
-3.081038 -1.609481 44.024971 -2.006174 -8.747399 3.417347
-3.087848 -1.748658 45.018907 -1.605734 -9.313875 3.226137
-3.169582 -1.790957 46.016366 -1.379211 -9.502653 2.986198
-3.149366 -1.874898 47.010251 -1.146698 -10.048977 2.824782
-3.510474 -1.971769 47.925898 -1.498627 -9.171599 2.878323
-3.012958 -2.105528 48.760193 -1.856957 -12.030783 2.810663
-3.234910 -2.109592 49.719325 -1.832071 -12.240549 2.943913
-3.411477 -2.132975 50.686629 -1.810613 -12.122225 2.889925
-3.587261 -2.113790 51.649676 -1.599021 -12.338654 2.898559
-3.902822 -2.067619 52.568498 -1.768437 -12.132030 3.192983
-4.055529 -2.086116 53.521593 -1.738345 -12.162516 3.513995
-4.318492 -1.979764 54.444851 -1.839215 -11.869688 4.188891
-4.289180 -2.052930 55.402623 -1.505634 -12.603676 4.141722
-4.452158 -2.177969 56.344825 -1.365980 -12.939436 3.732831
-4.445637 -2.214049 57.308160 -1.386357 -13.576252 3.579605
-4.688957 -2.258588 58.229883 -1.625138 -13.552351 3.456888
-5.060652 -2.398997 59.085789 -1.633480 -13.285574 3.479008
-5.210354 -2.430605 60.000411 -1.845910 -13.480697 4.014990
-5.739961 -2.459999 60.749119 -2.119419 -12.718030 4.451388
-5.856311 -2.566206 61.649250 -2.386391 -13.161534 4.379790
-6.117511 -2.675951 62.505192 -2.444261 -12.706271 4.152485
-6.190736 -2.754655 63.384607 -2.762131 -13.041813 4.159068
-6.380229 -2.828315 64.232370 -2.964215 -13.113453 4.307981
-6.660661 -2.875767 65.041948 -3.399153 -12.923535 4.319377
-6.603137 -2.970300 65.880835 -3.474385 -13.487363 4.301313
-6.891356 -3.026189 66.659074 -3.641867 -13.241210 4.370537
-7.116238 -3.046010 67.446982 -3.764859 -13.114041 4.471979
-7.324409 -3.001503 68.225975 -4.057058 -12.955334 4.590454
