x y z roll pitch yaw
0.000000 0.000000 -0.000000 0.000000 0.000000 -0.000000
0.599192 -0.146126 0.599981 0.103121 -1.295176 -0.158507
0.597507 -0.158813 1.459213 0.064510 -1.695121 -0.138671
0.523218 -0.193232 2.315746 0.147124 -1.809023 -0.101532
0.425474 -0.223263 3.169072 0.086427 -2.039989 -0.132174
0.409502 -0.221717 4.029358 0.251797 -2.288444 -0.121683
0.359497 -0.262104 4.886349 0.235445 -2.527461 -0.146360
0.465170 -0.188387 5.737186 0.010774 -3.163126 0.077709
0.388244 -0.210132 6.592906 -0.014507 -3.355926 -0.031788
0.241186 -0.155837 7.438810 0.010076 -3.495876 -0.045367
0.126826 -0.127574 8.291308 0.011564 -3.685630 -0.099056
0.039677 -0.136322 9.145965 -0.047242 -3.751246 -0.097700
-0.022489 -0.164654 10.003681 0.010643 -3.877557 -0.147136
-0.165462 -0.191433 10.851653 0.115114 -3.847747 -0.182125
-0.215100 -0.201551 11.709751 0.160322 -3.933184 -0.216446
-0.240898 -0.192744 12.565188 0.211786 -4.094444 -0.153195
-0.274743 -0.313162 13.419749 -0.090018 -4.325794 -0.297511
-0.261131 -0.359679 14.289123 -0.257847 -4.638547 -0.215554
-0.260086 -0.366070 15.170714 -0.371971 -4.949183 -0.202479
-0.396443 -0.385225 16.051944 -0.574138 -4.902980 -0.228670
-0.461727 -0.386622 16.951298 -0.424606 -5.099968 -0.330013
-0.539629 -0.390329 17.854100 -0.427756 -5.099007 -0.412003
-0.631016 -0.380430 18.762507 -0.345128 -5.169044 -0.402398
-0.712242 -0.373515 19.673969 -0.330964 -5.240854 -0.313479
-0.775672 -0.399560 20.589913 -0.196624 -5.254233 -0.322883
-0.868927 -0.382880 21.513765 -0.197849 -5.257074 -0.386621
-0.931540 -0.389068 22.447795 -0.304127 -5.266968 -0.605458
-1.010867 -0.398627 23.381716 -0.436616 -5.232439 -0.853136
-1.091422 -0.370657 24.321865 -0.376961 -5.131224 -0.929494
-1.158179 -0.356567 25.266285 -0.323395 -5.047000 -0.925917
