x y z roll pitch yaw
0.000000 0.000000 -0.000000 0.000000 0.000000 -0.000000
0.611484 -0.146875 0.780519 0.315162 2.181656 0.212088
0.836469 -0.176690 1.754216 0.779559 4.523725 0.453627
1.815231 -0.079644 1.942826 -0.020312 1.991007 1.484832
2.171104 -0.411920 2.809070 -0.160392 4.514182 1.430144
2.357656 -0.463897 3.788671 0.428983 7.011537 1.519460
3.202461 -0.469997 4.309360 0.430104 8.781713 1.799943
2.953355 -0.481697 5.268698 0.735230 11.812657 2.142071
3.374221 -0.764163 6.116410 0.975802 14.324306 2.000518
4.071517 -0.696544 6.812146 1.035495 16.671910 2.077831
4.577137 -0.893576 7.634024 1.166728 18.915510 1.917297
4.938667 -1.096071 8.523954 1.216630 21.533796 1.790700
5.333751 -1.141491 9.419325 1.294809 24.243581 1.809329
5.787792 -1.146273 10.283426 1.621012 26.710518 1.907686
6.312611 -1.216240 11.101654 1.827409 29.355493 1.841571
6.872649 -1.240131 11.889438 1.904356 31.981641 1.883594
7.338056 -1.316105 12.735324 2.371871 35.075244 1.847481
7.937657 -1.342207 13.491091 2.435309 37.592384 1.738990
8.605185 -1.376404 14.181092 2.809950 39.920939 1.746427
9.226236 -1.377469 14.907922 2.772581 42.558990 1.945476
9.915184 -1.359282 15.565742 2.619443 45.220251 2.242144
10.637290 -1.363444 16.186081 2.593276 48.035179 2.500562
11.395556 -1.343011 16.762676 2.817159 50.657457 2.773049
12.152313 -1.439681 17.332988 3.174037 53.229194 2.568049
12.953646 -1.449534 17.862582 3.788009 55.479613 2.355194
13.596459 -1.574053 18.569634 4.508265 58.197754 1.894515
13.896383 -1.599981 19.486593 4.278719 61.122321 1.941893
14.763751 -1.699094 19.925342 4.673406 63.296751 1.285090
15.655358 -1.674995 20.348448 5.033903 65.467263 0.847299
15.448517 -1.838651 21.305783 9.343095 73.423950 -2.862028
16.405117 -1.845774 21.571279 10.147315 75.377473 -3.823073
16.731039 -1.731976 22.510434 11.035725 78.494157 -5.063085
17.712019 -1.824777 22.756108 14.260128 80.647636 -8.201496
18.710918 -1.821518 22.994902 18.001982 82.468540 -12.114310
19.743234 -1.773494 23.105622 22.790989 84.135700 -17.010517
20.792742 -1.690537 23.104640 30.956171 85.642368 -25.152364
21.831593 -1.710354 23.334857 49.409916 87.088076 -43.453204
22.907392 -1.646627 23.320183 77.009963 87.794880 -70.938276
