x y z roll pitch yaw
0.000000 0.000000 -0.000000 0.000000 0.000000 -0.000000
0.003154 -0.063809 1.527954 0.177862 -0.098917 -0.250013
0.031928 -0.134524 3.049762 0.138478 -0.309941 -0.444513
0.127257 -0.124688 4.560898 0.138478 -0.309941 -0.444513
0.155974 -0.309906 6.062541 0.089216 -0.696364 -0.716463
0.370892 -0.280203 7.583213 0.079801 -1.104922 -0.641819
0.327456 -0.330938 9.065744 0.002617 -1.148389 -0.733628
0.190920 -0.381217 10.559104 0.278510 -0.960366 -0.792356
0.237817 -0.453306 12.051689 0.343721 -1.216576 -1.015489
0.161021 -0.394995 13.541941 0.678577 -1.327452 -0.883663
0.181653 -0.291838 15.027136 1.008159 -1.540740 -0.807881
0.137444 -0.201577 16.508695 0.770729 -1.481929 -0.427516
0.277631 -0.210672 17.985015 0.744350 -2.224225 -0.426029
0.050100 -0.145176 19.440055 0.822307 -2.183919 -0.379199
-0.014439 -0.168721 20.912183 1.232599 -1.992124 -0.521931
-0.046132 -0.132713 22.373722 1.364418 -1.996969 -0.514683
-0.009595 -0.082874 23.829850 0.995655 -2.186067 -0.269309
0.048358 -0.027626 25.280329 0.732913 -2.151706 -0.313737
0.025599 -0.093827 26.720018 0.825802 -2.172324 -0.319365
-0.211570 -0.140139 28.133036 0.919689 -1.733682 -0.257165
-0.259008 -0.150871 29.558157 0.919689 -1.733682 -0.257165
-0.190784 -0.190269 30.977847 0.961142 -2.193433 -0.512903
-0.217412 -0.316558 32.383614 0.975812 -2.361520 -0.867891
-0.261241 -0.363220 33.776972 0.916918 -2.457611 -1.075320
-0.274889 -0.440166 35.159276 1.439621 -2.431681 -1.265148
-0.434640 -0.466196 36.517900 1.399164 -2.178910 -1.251444
-0.479408 -0.442774 37.873676 1.327680 -2.186174 -1.174316
-0.572092 -0.429493 39.205044 1.092160 -1.999281 -1.217571
-0.619084 -0.486412 40.527182 0.953201 -1.647725 -1.468779
-0.616673 -0.420874 41.829012 1.168635 -1.471706 -1.399486
-0.624804 -0.411385 43.111545 1.152957 -1.226227 -1.394161
-0.607289 -0.430130 44.374804 1.388572 -1.126754 -1.389508
-0.623782 -0.406194 45.615843 1.389853 -0.885087 -1.395381
-0.737418 -0.402760 46.844071 1.266040 -0.279401 -1.284095
-0.712810 -0.416134 48.064075 1.386567 -0.075146 -1.350800
-0.682759 -0.378914 49.272879 1.373622 0.147238 -1.330814
-0.747213 -0.392297 50.469269 1.267948 0.906777 -1.460333
-0.547543 -0.389677 51.638224 1.281097 0.685670 -1.443814
-0.378231 -0.403912 52.803830 1.335903 0.665475 -1.507533
-0.260090 -0.380439 53.962410 1.476408 1.110544 -1.565752
-0.192655 -0.413465 55.109176 1.452398 1.844555 -1.577208
-0.140003 -0.484860 56.238788 1.438809 2.659635 -1.852462
0.013363 -0.461031 57.349911 1.533099 3.406999 -1.843422
0.049005 -0.477996 58.463466 1.605765 4.610438 -2.116379
0.207069 -0.363009 59.544792 1.504947 5.590723 -1.962328
0.333064 -0.357452 60.623211 1.692340 7.024890 -2.036587
0.433343 -0.384177 61.693081 1.939865 8.414817 -2.180568
0.646054 -0.292443 62.731385 2.096276 9.847839 -2.250272
0.711670 -0.222108 63.779333 2.530565 11.380998 -2.231816
0.951868 -0.215809 64.790945 2.858891 12.710907 -2.197813
1.162068 -0.190903 65.792542 3.003776 14.395037 -2.063604
1.510468 -0.161068 66.745422 3.252684 15.975574 -2.195649
1.736755 -0.118680 67.723006 3.513004 17.934876 -2.318000
2.251364 -0.024336 68.574263 3.767928 19.521899 -2.537643
2.604797 0.064388 69.489143 3.608678 21.493081 -2.283427
3.075931 -0.025774 70.330598 3.867107 22.947599 -2.359045
3.574531 0.007870 71.149914 3.985893 24.565361 -2.149907
4.002249 0.055967 72.004047 4.289939 26.456514 -2.080463
4.469754 0.079817 72.836428 4.487568 28.271186 -2.447941
4.936630 0.139480 73.667218 4.131473 30.478569 -2.968377
5.375348 0.111261 74.500986 4.358261 33.022661 -3.423994
5.797365 0.141838 75.329707 3.735010 35.815995 -3.243296
6.494488 0.238329 75.927904 3.222885 37.376426 -2.456071
7.107432 0.284120 76.608691 3.308987 39.415974 -2.336653
7.746096 0.297043 77.273537 3.531619 41.410672 -2.738310
8.351901 0.311783 77.955632 3.359829 43.802453 -2.768970
9.079730 0.338725 78.481119 3.441425 45.550098 -2.469677
9.755106 0.341468 79.075766 3.558360 47.484047 -2.636825
10.443924 0.348642 79.650478 3.856626 49.611298 -2.853341
11.100707 0.405390 80.267720 3.719588 52.082956 -2.769632
11.897799 0.444879 80.686233 3.447085 53.777040 -2.191045
12.631589 0.489494 81.213920 2.413830 56.081711 -1.221199
13.436808 0.515168 81.656507 1.785439 58.064779 -0.623948
14.175495 0.520731 82.216880 1.145640 60.774022 -0.199270
14.981257 0.559277 82.675614 1.035694 62.840817 -0.157420
15.815279 0.573722 83.102144 1.187834 65.301676 -0.687947
16.636688 0.564654 83.536027 0.983154 67.810444 -0.694207
17.528051 0.555451 83.833580 0.764249 69.693451 -1.003621
18.310500 0.536235 84.354553 1.196935 72.659542 -1.684469
19.244580 0.486351 84.499992 2.459767 74.537182 -2.982151
20.153684 0.505470 84.778515 2.842439 76.748089 -3.383731
20.988965 0.417215 85.241898 5.352060 79.896973 -5.999330
21.946832 0.377475 85.306342 8.135282 81.790594 -8.938533
22.899793 0.440602 85.441692 9.929238 84.096431 -10.352199
23.856759 0.404005 85.523952 14.464564 86.018138 -14.997214
24.819456 0.402766 85.565587 20.091062 87.694375 -20.562091
25.778300 0.344858 85.466071 39.474112 88.846357 -39.354651
26.746530 0.261931 85.450566 123.669754 88.681881 -122.919006
27.725676 0.321145 85.395169 147.473281 88.015875 -146.849276
28.702082 0.315653 85.272826 152.530247 87.099035 -151.524702
29.679938 0.338688 85.195552 163.060429 86.323097 -161.718599
30.654594 0.398011 85.069639 172.891805 85.671044 -171.307261
