x y z roll pitch yaw
1.490600 -1.168100 0.661000 -5.080960 -8.314569 -128.458411
1.489159 -1.176648 0.655267 -4.828497 -7.763141 -127.966857
1.490639 -1.182049 0.650087 -4.593791 -7.828543 -127.440812
1.491328 -1.174859 0.648581 -4.669321 -7.544170 -128.145597
1.491662 -1.183155 0.645724 -4.906008 -7.230370 -128.441053
1.489730 -1.188238 0.648098 -4.878903 -6.788045 -129.044339
1.486236 -1.188018 0.652270 -4.384936 -5.828171 -130.249019
1.485295 -1.182669 0.650953 -3.934885 -5.501962 -130.592167
1.485295 -1.182669 0.650953 -3.934885 -5.501962 -130.592167
1.485295 -1.182669 0.650953 -3.934885 -5.501962 -130.592167
1.484915 -1.186445 0.649719 -2.575263 -4.582612 -130.767781
1.484717 -1.187821 0.650152 -2.508081 -4.474107 -130.985266
1.484730 -1.188530 0.650344 -2.348316 -4.424510 -131.090049
1.484675 -1.189022 0.650557 -2.311425 -4.421278 -131.210468
1.484675 -1.189022 0.650557 -2.311425 -4.421278 -131.210468
1.484675 -1.189022 0.650557 -2.311425 -4.421278 -131.210468
1.483716 -1.189361 0.645249 -1.688918 -4.190021 -129.699861
1.485104 -1.185645 0.644098 -1.382635 -4.397810 -129.490839
1.485850 -1.180912 0.643305 -1.456050 -4.506103 -129.380203
1.487082 -1.173374 0.642033 -1.796665 -4.389809 -129.359935
1.486264 -1.167983 0.639385 -2.022892 -4.133993 -129.192399
1.486264 -1.167983 0.639385 -2.022892 -4.133993 -129.192399
1.486698 -1.158227 0.638983 -2.253398 -4.120155 -129.081621
1.484441 -1.159526 0.631762 -2.344923 -3.826745 -128.045396
1.484985 -1.151744 0.633387 -2.413035 -3.804973 -127.974592
1.484985 -1.151744 0.633387 -2.413035 -3.804973 -127.974592
1.485055 -1.142550 0.636368 -2.510371 -4.066901 -128.293774
1.485605 -1.140310 0.626347 -2.969469 -4.229116 -127.202201
1.482268 -1.140408 0.612337 -3.283770 -4.176199 -125.638006
1.483493 -1.129804 0.615314 -3.772716 -4.447040 -125.651995
