x y z roll pitch yaw
0.000000 0.000000 -0.000000 0.000000 0.000000 -0.000000
0.599192 -0.146126 0.599981 0.103121 -1.295176 -0.158507
0.597507 -0.158813 1.459213 0.064510 -1.695121 -0.138671
0.523218 -0.193232 2.315746 0.147124 -1.809023 -0.101532
0.425474 -0.223263 3.169072 0.086427 -2.039989 -0.132174
0.409502 -0.221717 4.029358 0.251797 -2.288444 -0.121683
0.359497 -0.262104 4.886349 0.235445 -2.527461 -0.146360
0.465170 -0.188387 5.737186 0.010774 -3.163126 0.077709
0.388244 -0.210132 6.592906 -0.014507 -3.355926 -0.031788
0.241186 -0.155837 7.438810 0.010076 -3.495876 -0.045367
0.126826 -0.127574 8.291308 0.011564 -3.685630 -0.099056
0.039677 -0.136322 9.145965 -0.047242 -3.751246 -0.097700
-0.022489 -0.164654 10.003681 0.010643 -3.877557 -0.147136
-0.165462 -0.191433 10.851653 0.115114 -3.847747 -0.182125
-0.215100 -0.201551 11.709751 0.160322 -3.933184 -0.216446
-0.240898 -0.192744 12.565188 0.211786 -4.094444 -0.153195
-0.274743 -0.313162 13.419749 -0.090018 -4.325794 -0.297511
-0.261131 -0.359679 14.289123 -0.257847 -4.638547 -0.215554
-0.260086 -0.366070 15.170714 -0.371971 -4.949183 -0.202479
-0.396443 -0.385225 16.051944 -0.574138 -4.902980 -0.228670
-0.461727 -0.386622 16.951298 -0.424606 -5.099968 -0.330013
-0.539629 -0.390329 17.854100 -0.427756 -5.099007 -0.412003
-0.631016 -0.380430 18.762507 -0.345128 -5.169044 -0.402398
-0.712242 -0.373515 19.673969 -0.330964 -5.240854 -0.313479
-0.775672 -0.399560 20.589913 -0.196624 -5.254233 -0.322883
-0.868927 -0.382880 21.513765 -0.197849 -5.257074 -0.386621
-0.931540 -0.389068 22.447795 -0.304127 -5.266968 -0.605458
-1.010867 -0.398627 23.381716 -0.436616 -5.232439 -0.853136
-1.091422 -0.370657 24.321865 -0.376961 -5.131224 -0.929494
-1.158179 -0.356567 25.266285 -0.323395 -5.047000 -0.925917
-1.234005 -0.344552 26.212604 -0.332605 -5.002309 -0.789557
-1.331129 -0.324786 27.160742 -0.382324 -4.853464 -0.442286
-1.407684 -0.303913 28.117492 -0.362935 -4.765676 -0.165319
-1.529364 -0.237340 29.077393 -0.437493 -4.614454 -0.047101
-1.617550 -0.238432 30.050435 -0.293699 -4.616375 -0.379153
-1.662670 -0.266347 31.029828 0.010238 -4.684283 -0.630158
-1.714470 -0.286868 32.008862 0.504053 -4.810997 -0.670640
-1.787453 -0.207926 32.983521 0.917376 -4.903954 -0.392768
-1.914913 -0.222380 33.960971 0.795799 -4.922292 -0.168045
-2.061879 -0.250983 34.963201 0.558078 -4.962292 -0.089915
-2.079462 -0.271289 36.023309 0.565034 -5.123528 -0.165970
-2.230737 -0.238149 37.056400 0.440184 -5.105579 -0.243957
-2.358403 -0.283592 38.094131 0.467794 -5.120101 -0.405881
-2.360670 -0.249966 39.128645 0.244427 -5.409694 -0.411166
-2.432992 -0.229346 40.163794 0.246616 -5.496078 -0.523971
-2.544524 -0.226371 41.183486 -0.168049 -5.527879 -0.603680
-2.727169 -0.165548 42.190105 -0.057387 -5.425654 -0.410220
-2.807831 -0.177738 43.199333 -0.054413 -5.436734 -0.337550
-2.921191 -0.179359 44.200851 -0.273181 -5.409121 -0.144785
-3.035116 -0.215895 45.197350 -0.158963 -5.366026 -0.232174
-2.973233 -0.267594 46.195796 0.031887 -5.737140 -0.366814
-3.061015 -0.262821 47.189543 -0.061480 -5.831133 -0.388280
-3.180616 -0.282037 48.171133 -0.124144 -5.823075 -0.179668
-3.145397 -0.264262 49.150880 -0.035209 -6.219457 0.083286
