x y z roll pitch yaw
0.000000 0.000000 -0.000000 0.000000 0.000000 -0.000000
-0.413694 -0.114010 0.745802 0.244884 0.451375 -0.082168
-0.721375 -0.172246 1.546042 0.291920 0.651007 -0.101351
-0.745394 -0.139138 2.405507 0.123691 0.414559 0.128253
-0.793513 -0.151967 3.263493 -0.222014 0.193739 0.099318
-0.728922 -0.134151 4.121316 -0.281410 -0.329134 0.259480
-0.483046 -0.178270 4.943607 -0.747595 -1.483491 0.283755
0.077948 -0.019168 5.576457 -1.169170 -4.919625 1.349380
-0.031546 0.042734 6.426649 -1.239758 -5.155416 1.435334
-0.366916 0.152747 7.211220 -1.545732 -4.945804 1.539248
-0.412529 0.166726 8.070494 -1.862644 -5.096320 1.452388
-0.594068 0.034334 8.899727 -1.745555 -5.098514 1.165100
-0.773925 0.036843 9.741148 -1.757006 -5.025007 1.275356
-0.832484 0.045255 10.599469 -1.566721 -5.055654 1.261441
-1.001960 0.053392 11.442150 -1.600270 -5.057485 1.353238
-1.127267 0.032455 12.288539 -1.492319 -5.055517 1.333663
-1.097592 0.066644 13.151019 -1.833768 -5.294592 1.656720
-1.282294 0.073393 14.001901 -1.830711 -5.058469 1.914064
-1.411154 0.002404 14.871153 -1.743803 -4.855203 1.903269
-1.475870 0.005052 15.760721 -1.648553 -4.908739 1.963862
-1.591824 0.008531 16.654949 -1.403836 -5.003324 1.909863
-1.703339 -0.029676 17.553414 -1.592107 -5.035585 1.892080
-1.773774 -0.117689 18.459474 -1.690548 -5.245624 1.677198
-1.857639 -0.099387 19.370539 -1.583206 -5.406315 2.038605
-1.826334 -0.152086 20.286999 -1.518447 -5.650226 2.038498
-1.234498 0.071744 20.966784 -0.883162 -8.148933 2.942483
-1.381074 -0.012064 21.887579 -0.819558 -7.952453 2.664021
-1.535493 -0.066011 22.810530 -0.582378 -7.986069 2.458590
-1.703336 -0.114447 23.738233 -0.955456 -7.631410 2.243907
-1.868698 -0.085778 24.670122 -1.135337 -7.562288 2.413633
-2.050013 -0.185226 25.596755 -1.180338 -7.556584 2.409596
-2.129380 -0.204483 26.546555 -1.214772 -7.460510 2.733733
-2.280016 -0.222659 27.494524 -1.175077 -7.466709 2.977858
-2.347192 -0.169079 28.460580 -1.183240 -7.717557 3.344266
-2.438460 -0.089036 29.430039 -1.142616 -7.977164 3.509301
-2.583459 -0.230037 30.389790 -0.840312 -7.764075 3.165358
-2.939106 -0.288029 31.301801 -0.656124 -7.332501 3.312355
-3.106753 -0.396736 32.261798 -0.623094 -7.385568 3.426567
-3.318387 -0.421201 33.224334 -1.050394 -7.361669 3.732578
-3.408085 -0.454975 34.233144 -1.389756 -7.377173 3.953607
-3.664178 -0.557466 35.257088 -1.324099 -7.374489 3.949492
-3.879781 -0.658106 36.274264 -1.510864 -7.093131 3.753322
-3.913683 -0.712240 37.318854 -1.552469 -7.148643 3.774883
-3.962076 -0.843491 38.344421 -1.741241 -7.339415 3.583227
-4.147620 -0.951327 39.359868 -2.136717 -7.154575 3.404267
-4.081976 -1.023167 40.381019 -2.610507 -7.768536 3.394598
-4.235219 -1.088118 41.392275 -2.609654 -7.768810 3.394445
-4.004637 -1.187881 42.373130 -2.533282 -9.428933 3.360230
-4.227355 -1.222404 43.355522 -2.873823 -9.206368 3.525896
-4.388890 -1.256013 44.345524 -2.873823 -9.206368 3.525896
-3.763044 -1.570421 45.061665 -3.561716 -11.599366 2.694481
-3.255364 -1.766678 45.897731 -3.642972 -11.815233 2.436672
-3.462500 -1.780826 46.864730 -3.645104 -12.025001 2.748482
-3.780432 -1.870295 47.787972 -3.845624 -11.538816 2.866007
-3.985918 -1.873747 48.750769 -3.605815 -11.825076 3.116207
-4.153344 -1.848592 49.719652 -3.564463 -12.042821 3.044447
-4.327246 -1.842842 50.683214 -3.219795 -12.373334 3.145286
-4.523301 -1.901303 51.634051 -3.215471 -12.131910 3.159160
-4.755705 -1.935246 52.570473 -3.132714 -12.044289 3.296341
-4.864739 -1.992355 53.528448 -3.230902 -12.284177 3.565554
-5.041461 -2.091325 54.467870 -3.618220 -12.314045 3.602401
-5.239552 -2.217004 55.403234 -3.657517 -12.307576 3.214502
-5.669629 -2.199827 56.265846 -3.481044 -11.956045 3.188697
-5.934416 -2.231404 57.182171 -3.947050 -11.758067 3.268983
-5.913145 -2.354873 58.117452 -4.097076 -12.906209 3.266419
-6.139265 -2.421428 59.014326 -4.062240 -12.918613 3.709180
-6.372353 -2.475530 59.900133 -4.057725 -13.058560 3.973506
-6.663351 -2.464829 60.766308 -4.304806 -12.980187 4.100915
-6.840954 -2.529119 61.647915 -4.613887 -13.123260 3.962106
-7.091095 -2.561644 62.497208 -4.935503 -13.024474 4.006227
-7.317411 -2.661649 63.333160 -4.935503 -13.024474 4.006227
-7.706852 -2.696952 64.096965 -5.154663 -12.103472 4.210634
-7.899074 -2.749494 64.919321 -5.281049 -11.850216 4.280946
-8.074699 -2.816838 65.729549 -5.181720 -11.851655 4.257343
-8.297494 -2.854188 66.517413 -5.181720 -11.851655 4.257343
-8.536941 -2.888576 67.287887 -5.267673 -11.681377 4.203427
-8.635086 -2.986932 68.072712 -5.012634 -11.913328 3.894455
-8.751747 -3.078983 68.837823 -5.260612 -12.053777 3.720008
-8.952828 -3.163897 69.562295 -5.354570 -11.976422 3.854865
-8.948012 -3.104380 70.293859 -5.262862 -12.332574 4.651642
-9.009623 -3.224853 70.996953 -5.050241 -12.633045 4.878915
-9.161162 -3.310438 71.673211 -4.941788 -12.656895 4.875764
-9.137335 -2.824444 72.148247 -4.296626 -13.348319 7.612909
-9.318936 -2.933094 72.773229 -4.521322 -13.167912 7.452896
-9.298308 -3.050509 73.395842 -4.493240 -13.543837 7.517235
-9.509201 -3.143662 73.965137 -3.780605 -13.114863 7.840008
-9.145774 -3.160953 74.438153 -3.378737 -14.194610 8.238363
-9.204299 -3.157365 75.019619 -3.488783 -14.342151 8.557584
-9.279453 -3.264348 75.577088 -3.760861 -14.394125 8.356941
-9.712438 -3.400402 75.900022 -3.797557 -13.038273 7.862885
-9.824565 -3.456524 76.429456 -3.642577 -12.785713 7.659667
-10.200403 -3.412476 76.803365 -3.503542 -11.415727 7.874668
-10.057797 -3.501006 77.287750 -3.482828 -11.606234 7.876560
-10.215793 -3.514457 77.764073 -3.817983 -10.490727 8.228911
-10.556918 -3.707315 78.055068 -3.661891 -8.803965 7.991756
-10.561741 -3.792390 78.521992 -3.622055 -7.542121 7.973047
-10.360981 -3.840650 78.933360 -3.327712 -6.792117 8.150401
-10.241781 -3.901424 79.368275 -3.300457 -5.576861 8.247956
-10.076282 -4.006787 79.773449 -3.264898 -4.220571 8.179993
-10.130081 -4.060321 80.204541 -3.306996 -1.873264 8.317247
-10.156274 -4.148439 80.633509 -3.354002 0.735908 8.326342
-10.155248 -4.153243 81.065356 -3.592240 3.596762 8.699116
-10.138382 -4.218516 81.472967 -3.657985 6.975828 9.084906
-9.898923 -4.270746 81.809897 -3.804159 9.706915 9.583788
-9.686921 -4.332358 82.139786 -3.711261 12.751065 9.867730
-9.542827 -4.410860 82.508107 -3.850296 16.463459 10.024331
-9.263813 -4.395517 82.789916 -4.212140 19.698235 10.929538
-9.178299 -4.523747 83.135711 -3.735367 24.164072 11.095151
-8.997322 -4.578505 83.473704 -4.002133 28.234549 11.396503
-8.624752 -4.551137 83.472290 -4.204466 29.115600 12.087803
-8.789643 -4.629057 83.814950 -4.442416 35.231103 12.339928
-8.487199 -4.708216 84.037142 -4.217807 38.861310 12.426272
-8.238437 -4.792292 84.306312 -4.418483 42.688830 12.663904
-7.932291 -4.779959 84.531658 -4.811677 46.307311 13.657889
-7.594632 -4.857529 84.664352 -5.135160 49.333524 13.995783
-7.244095 -4.838503 84.810533 -6.263245 52.370672 15.198129
-6.878775 -4.853052 84.918210 -7.517096 55.219180 16.189134
-6.579890 -4.932702 85.132826 -7.678599 58.532460 16.896363
-6.210778 -4.965029 85.249349 -7.018459 60.806712 17.310457
-5.931149 -5.013384 85.510418 -7.639916 63.920599 18.208556
-5.794470 -5.081007 85.864687 -9.607069 67.557625 20.382889
-5.425322 -5.133025 85.974344 -11.922085 69.500924 22.227363
-5.055806 -5.194271 86.095487 -13.588648 71.308170 23.796251
-4.654969 -5.241826 86.116127 -14.250813 72.468255 25.120389
-4.247210 -5.296049 86.113423 -14.719838 73.509663 26.065195
-3.830749 -5.293914 86.193826 -17.881656 74.544705 29.537596
-3.414728 -5.393234 86.233841 -19.723580 75.460168 31.465848
-2.971726 -5.473662 86.222764 -21.135827 76.220160 32.346963
-2.526411 -5.549849 86.346468 -22.571146 77.489788 33.387862
