x y z roll pitch yaw
0.000000 0.000000 -0.000000 0.000000 0.000000 -0.000000
0.206542 -0.036525 0.834487 0.292672 -1.024034 0.001568
0.291993 -0.004196 1.688944 0.357656 -1.635619 0.229159
0.351453 -0.121079 2.539329 0.346557 -2.304514 -0.074071
0.415504 -0.091992 3.395876 0.540281 -2.968009 -0.015609
0.994750 -0.151116 4.029379 0.361771 -5.460856 -0.147738
0.601162 -0.340863 4.769412 0.756966 -5.123111 -0.447292
0.408603 -0.331928 5.608082 0.775591 -5.052630 -0.340839
0.383414 -0.327873 6.467149 0.796060 -5.469041 -0.258227
0.114151 -0.286212 7.283169 0.917159 -5.212776 -0.390326
0.105379 -0.233821 8.142126 0.778802 -5.534170 -0.298203
-0.120049 -0.141240 8.965972 0.617935 -5.416636 -0.063098
-0.272080 0.099434 9.777949 0.635728 -5.308641 0.917629
-0.339175 0.084460 10.635555 0.604590 -5.304842 0.917849
-0.779644 0.060190 11.373320 0.501329 -4.630051 0.990272
-0.696258 -0.029322 12.220403 0.484904 -5.341715 0.831817
-0.803198 -0.078750 13.075997 0.270694 -5.384215 0.888885
-0.611972 -0.047095 13.924874 0.152726 -6.694402 1.397183
-0.758605 -0.094337 14.792924 0.088567 -6.671660 1.419487
-0.902967 -0.102914 15.673044 -0.044175 -6.702449 1.430189
-0.998328 -0.130736 16.569277 0.032232 -6.812343 1.309616
-1.193742 -0.180208 17.452737 0.061747 -6.656633 1.047453
-1.216748 -0.273438 18.360719 -0.209979 -6.998178 1.008814
-1.409439 -0.345686 19.252379 -0.117436 -6.770458 0.984690
-1.591270 -0.430170 20.148736 0.161151 -6.900531 0.818530
-1.775732 -0.423972 21.058908 0.028467 -6.511006 0.772888
-1.952683 -0.436216 21.978097 -0.269541 -6.506846 0.490688
-1.894609 -0.451911 22.913498 -0.318117 -6.916437 0.150715
-1.976018 -0.309629 23.843165 0.315163 -7.215956 0.356091
-1.787363 -0.299752 24.771009 0.283085 -8.064745 0.579246
-1.775210 -0.372554 25.717564 0.566747 -8.587317 0.634099
-1.857043 -0.356907 26.667220 0.635739 -8.665776 1.139202
-2.065510 -0.464987 27.598095 0.841085 -8.302322 1.005137
-2.128641 -0.487929 28.565636 0.998147 -8.613287 0.892356
-2.402141 -0.544173 29.501917 0.970746 -8.161729 0.642918
-2.619802 -0.623003 30.455037 1.488824 -7.986965 0.216802
-2.691075 -0.647223 31.432761 1.607264 -8.250425 0.148878
-2.852780 -0.673002 32.399563 1.614240 -8.279098 0.433314
-2.721987 -0.610416 33.374672 1.438770 -9.128670 1.082193
-2.867941 -0.637029 34.377106 1.496747 -9.390343 1.091191
-2.985904 -0.588245 35.429843 1.325083 -9.649647 1.314407
-3.008467 -0.716383 36.466342 0.889352 -10.160479 0.959533
-3.114770 -0.839115 37.500212 0.822320 -10.396003 0.720081
-3.187932 -0.885002 38.531665 0.769574 -10.869826 0.667556
-3.399489 -0.840769 39.546789 0.602163 -10.659581 0.719521
-3.538176 -0.963426 40.555719 0.294194 -10.929864 0.210163
-3.914278 -0.995915 41.508522 0.366964 -10.489741 0.147006
-4.091439 -1.062420 42.503201 0.414353 -10.248165 0.134721
-4.166852 -1.110397 43.507144 -0.036316 -10.457460 0.268492
-4.409473 -1.227343 44.473987 -0.158448 -10.446854 -0.061202
-4.629898 -1.263874 45.450446 -0.263544 -10.362788 -0.111569
-4.552803 -1.269934 46.445072 -0.535893 -10.848916 -0.051238
-4.707566 -1.316770 47.420802 -0.618973 -10.843253 -0.093005
-4.528820 -1.371788 48.383342 -1.244300 -11.878828 0.128512
-4.609589 -1.425819 49.363021 -1.272226 -12.131870 0.086624
-4.600823 -1.422645 50.346542 -1.171586 -12.733744 -0.005730
-4.929348 -1.460410 51.268155 -1.011513 -12.505897 -0.230389
-5.089592 -1.418603 52.226550 -1.074067 -12.602094 -0.057460
-5.290391 -1.508757 53.166551 -0.602898 -12.364056 -0.163590
-5.671838 -1.361328 54.041553 -0.719726 -11.834060 0.422222
-5.845485 -1.357341 54.986736 -0.642846 -11.857342 0.420956
-6.336698 -1.348518 55.816539 -0.426017 -11.130334 0.184126
