x y z roll pitch yaw
0.000000 0.000000 -0.000000 0.000000 0.000000 -0.000000
-0.301858 0.051063 0.804137 -0.096747 0.460979 0.291416
-0.208509 0.067375 1.658223 0.066122 -0.094235 0.506831
-0.139275 0.007421 2.513773 0.282713 -0.438331 0.481017
-0.090989 -0.000908 3.371805 0.364400 -1.052988 0.570958
-0.146779 0.045026 4.229200 0.467623 -1.275962 0.789799
-0.288368 0.050680 5.076835 0.228799 -1.231280 0.918354
-0.604493 -0.008739 5.874996 0.017156 -1.024772 1.002977
-0.614836 0.014099 6.734076 -0.068215 -1.240218 0.999862
-0.808500 0.070778 7.570383 -0.216656 -0.987565 1.039795
