x y z roll pitch yaw
0.000000 0.000000 -0.000000 0.000000 0.000000 -0.000000
0.032683 -0.039028 0.858936 0.181632 -0.241722 0.094478
-0.047248 0.009975 1.713133 0.169226 -0.433715 0.219290
-0.048687 -0.006393 2.573414 0.106356 -0.711234 0.251295
-0.070969 -0.054022 3.431234 -0.010810 -0.914430 0.219533
-0.045940 -0.045669 4.291264 0.065794 -1.231643 0.257472
0.022087 -0.069924 5.147622 -0.096648 -1.626672 0.287714
-0.124707 -0.072257 5.995545 -0.283090 -1.754605 0.339108
0.086733 -0.138767 6.825916 -0.428414 -2.577427 0.129397
0.064101 -0.068908 7.683083 -0.199430 -2.926735 0.106663
-0.022247 -0.132850 8.536947 -0.362994 -3.005103 -0.134050
-0.208019 -0.123245 9.375701 -0.467856 -2.942382 -0.064003
-0.290623 -0.138814 10.232017 -0.444297 -3.114027 -0.067555
-0.309495 -0.171946 11.091529 -0.266685 -3.327239 -0.121253
-0.297942 -0.175739 11.951036 -0.300018 -3.598180 -0.194738
-0.421421 -0.177248 12.797951 -0.174960 -3.518896 -0.197868
-0.374060 -0.196248 13.660109 -0.242972 -3.912859 -0.130961
-0.382573 -0.222604 14.530393 -0.301493 -4.176226 -0.033723
-0.434286 -0.241189 15.410294 -0.539667 -4.288400 -0.002470
-0.543972 -0.204821 16.294698 -0.453652 -4.266318 0.046233
-0.496411 -0.206948 17.195162 -0.475407 -4.584840 -0.035688
-0.597919 -0.186911 18.095401 -0.518631 -4.587188 -0.031621
-0.621269 -0.220817 19.007518 -0.550083 -4.752036 -0.083800
-0.715808 -0.197785 19.917430 -0.421044 -4.803423 0.036183
-0.801768 -0.200058 20.831903 -0.250784 -4.769593 0.042622
-0.867254 -0.226213 21.757918 -0.396633 -4.837071 -0.030987
-0.943366 -0.284332 22.689154 -0.421964 -4.889249 -0.425160
-1.125110 -0.255245 23.608239 -0.301365 -4.751375 -0.593267
-1.181880 -0.267621 24.550457 -0.391844 -4.670844 -0.752670
-1.258094 -0.265564 25.494264 -0.513040 -4.574178 -0.794496
-1.323837 -0.267796 26.441410 -0.428854 -4.513708 -0.632702
-1.411135 -0.340962 27.387885 -0.585315 -4.433015 -0.446098
