x y z roll pitch yaw
1.490600 -1.168100 0.661000 -5.080960 -8.314569 -128.458411
1.491301 -1.176679 0.659171 -4.853754 -7.940907 -128.765366
1.490941 -1.185906 0.655010 -4.771618 -7.663963 -129.118150
1.492076 -1.193670 0.654969 -4.933658 -7.497238 -129.720665
1.493505 -1.201300 0.653732 -5.075830 -7.251196 -130.085273
1.493926 -1.207081 0.653772 -5.020972 -6.988062 -130.535441
1.495599 -1.212758 0.652786 -4.683036 -6.782397 -130.807427
1.497315 -1.217032 0.652621 -4.091096 -6.500752 -131.057329
1.497011 -1.220589 0.652506 -3.577909 -6.131046 -131.224070
1.496399 -1.223534 0.652670 -3.166332 -5.816671 -131.429165
